               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.035366,            0.026839,           0.0012189,             0.76972,             0.74276,             0.71334,             0.30973,            0.044502,            0.034123,          0.00086109,           0.0076679,           0.0076679,           0.0076679
                  36,            0.034802,            0.028343,           0.0014112,              0.8456,             0.82002,             0.81002,             0.34658,            0.040309,            0.028937,           0.0010118,            0.007543,            0.007543,            0.007543
                  37,            0.034566,            0.025954,           0.0011969,              0.7765,             0.76717,             0.73168,             0.33188,            0.042196,            0.032505,          0.00084765,            0.007416,            0.007416,            0.007416
                  38,             0.03483,            0.026895,           0.0011945,              0.7913,             0.74913,             0.72226,             0.30913,            0.044078,            0.033065,          0.00097129,           0.0072872,           0.0072872,           0.0072872
                  39,            0.034373,            0.027469,           0.0011129,             0.75985,             0.74572,             0.70319,             0.30069,            0.044436,            0.034559,          0.00092688,           0.0071566,           0.0071566,           0.0071566
                  40,            0.033568,               0.025,          0.00099926,              0.8282,             0.79411,             0.78012,             0.33753,            0.041142,            0.030035,           0.0010176,           0.0070243,           0.0070243,           0.0070243
                  41,            0.033372,            0.026081,           0.0014387,             0.82495,              0.8073,             0.79661,              0.3581,            0.039284,            0.028601,          0.00092683,           0.0068906,           0.0068906,           0.0068906
                  42,            0.033736,            0.025524,           0.0011542,             0.77663,             0.75405,             0.72318,              0.3148,            0.044301,            0.033072,          0.00084019,           0.0067555,           0.0067555,           0.0067555
                  43,             0.03299,             0.02552,          0.00091023,              0.7815,             0.78776,             0.73455,             0.31726,            0.043066,            0.032819,           0.0010179,           0.0066191,           0.0066191,           0.0066191
                  44,            0.032588,            0.024496,           0.0011297,             0.76227,             0.75304,             0.71149,             0.32256,            0.043118,            0.034059,          0.00096477,           0.0064816,           0.0064816,           0.0064816
                  45,            0.033051,            0.026016,           0.0011837,             0.81039,             0.79598,              0.7589,             0.33309,            0.042511,            0.034556,          0.00097092,           0.0063432,           0.0063432,           0.0063432
                  46,            0.033358,            0.025776,           0.0012264,             0.77437,              0.7863,             0.72368,             0.31074,            0.042718,            0.032436,           0.0010033,            0.006204,            0.006204,            0.006204
                  47,            0.032343,            0.024817,           0.0010447,             0.82446,             0.77894,              0.7654,              0.3583,            0.040634,             0.03086,           0.0010346,            0.006064,            0.006064,            0.006064
                  48,             0.03257,            0.027137,          0.00081351,             0.75324,             0.72901,             0.68832,             0.31407,            0.044915,            0.034547,           0.0011278,           0.0059235,           0.0059235,           0.0059235
                  49,            0.031771,            0.024273,          0.00087145,             0.78462,             0.77204,             0.73776,             0.31918,            0.043307,            0.033562,           0.0010274,           0.0057826,           0.0057826,           0.0057826
                  50,            0.031326,            0.023505,          0.00073309,              0.7579,              0.7565,             0.70746,             0.32047,            0.044758,            0.034405,          0.00097945,           0.0056413,           0.0056413,           0.0056413
                  51,            0.031455,            0.024957,          0.00082073,             0.75118,             0.75831,             0.69406,             0.31834,             0.04467,            0.035856,           0.0010473,              0.0055,              0.0055,              0.0055
                  52,             0.03139,            0.024694,          0.00073132,             0.80376,             0.78772,             0.75493,             0.32034,            0.042767,            0.033077,          0.00092454,           0.0053587,           0.0053587,           0.0053587
                  53,             0.03154,            0.025101,           0.0010393,             0.83457,             0.82263,             0.82128,             0.36947,            0.039455,            0.028309,          0.00085834,           0.0052174,           0.0052174,           0.0052174
                  54,            0.031969,             0.02518,          0.00087799,             0.81436,              0.8112,             0.78118,             0.36385,            0.040622,             0.03122,           0.0013934,           0.0050765,           0.0050765,           0.0050765
                  55,            0.031548,            0.025338,          0.00093144,             0.79806,             0.77845,             0.75226,             0.33977,            0.041209,            0.031604,          0.00096351,            0.004936,            0.004936,            0.004936
                  56,            0.031381,            0.025191,            0.000894,             0.79681,             0.79022,             0.76217,             0.34229,            0.041615,            0.031676,          0.00086749,            0.004796,            0.004796,            0.004796
                  57,            0.031148,            0.025624,          0.00081095,             0.76592,             0.77351,             0.72879,             0.33591,            0.042372,            0.032294,          0.00097637,           0.0046568,           0.0046568,           0.0046568
